win,lose,probability
Cleveland Cavaliers,New York Knicks,0.9221300874314001
Golden State Warriors,San Antonio Spurs,0.7396573899823395
Portland Trail Blazers,Utah Jazz,0.6304567569006218
Boston Celtics,Brooklyn Nets,0.8768188151602236
Indiana Pacers,Dallas Mavericks,0.6622070407462385
Houston Rockets,Los Angeles Lakers,0.846460308277354
Memphis Grizzlies,Minnesota Timberwolves,0.5612626060090609
Charlotte Hornets,Milwaukee Bucks,0.7308720558624308
Denver Nuggets,New Orleans Pelicans,0.5819770409262589
Miami Heat,Orlando Magic,0.6357834732283004
Oklahoma City Thunder,Philadelphia 76ers,0.967140174379168
Sacramento Kings,Phoenix Suns,0.6946416956604353
Toronto Raptors,Detroit Pistons,0.7510285689611373
Atlanta Hawks,Washington Wizards,0.7110424637680723
Boston Celtics,Chicago Bulls,0.5501323079805944
Portland Trail Blazers,Los Angeles Clippers,0.502210763573285
San Antonio Spurs,Sacramento Kings,0.8557114776669731
Indiana Pacers,Brooklyn Nets,0.8438505730368016
Dallas Mavericks,Houston Rockets,0.5419908582170654
Detroit Pistons,Orlando Magic,0.6568620578390849
Miami Heat,Charlotte Hornets,0.6128785073387188
Golden State Warriors,New Orleans Pelicans,0.9141841208926881
Oklahoma City Thunder,Phoenix Suns,0.9255731674711649
Toronto Raptors,Cleveland Cavaliers,0.5482852590677505
Utah Jazz,Los Angeles Lakers,0.8482047267605611
Indiana Pacers,Chicago Bulls,0.5049719387974176
Charlotte Hornets,Boston Celtics,0.5883028282536406
Cleveland Cavaliers,Orlando Magic,0.8994911844703869
Portland Trail Blazers,Denver Nuggets,0.7888455992730445
Milwaukee Bucks,Brooklyn Nets,0.6383024427160265
Memphis Grizzlies,New York Knicks,0.5736155058765595
Atlanta Hawks,Philadelphia 76ers,0.9265058377127626
Sacramento Kings,Minnesota Timberwolves,0.5018856984875921
San Antonio Spurs,New Orleans Pelicans,0.9450925718085503
Detroit Pistons,Milwaukee Bucks,0.6945472234091079
Houston Rockets,Dallas Mavericks,0.5786533128026957
Los Angeles Clippers,Utah Jazz,0.7433884102913212
Washington Wizards,Memphis Grizzlies,0.5334938386048113
San Antonio Spurs,Miami Heat,0.6246921770127156
Oklahoma City Thunder,Los Angeles Lakers,0.9502406373818346
Golden State Warriors,Phoenix Suns,0.9471293472514909
Atlanta Hawks,Sacramento Kings,0.7761599564368609
Chicago Bulls,Brooklyn Nets,0.7804874187974656
Los Angeles Clippers,Phoenix Suns,0.8871011528412628
Toronto Raptors,Denver Nuggets,0.8360703767707341
Cleveland Cavaliers,Houston Rockets,0.8461522883080945
Detroit Pistons,New York Knicks,0.7169544265584845
Indiana Pacers,Los Angeles Lakers,0.8800093067960115
Miami Heat,Sacramento Kings,0.7756787142951772
Memphis Grizzlies,Minnesota Timberwolves,0.5844830281381009
Milwaukee Bucks,New Orleans Pelicans,0.5384828603657725
Orlando Magic,Philadelphia 76ers,0.8614791437734922
Golden State Warriors,Portland Trail Blazers,0.7539121949250512
San Antonio Spurs,Utah Jazz,0.8989880399328585
Atlanta Hawks,Los Angeles Lakers,0.9055306731281721
Boston Celtics,Chicago Bulls,0.7241649360098622
Detroit Pistons,Brooklyn Nets,0.833525094083018
Charlotte Hornets,Philadelphia 76ers,0.9272428807730017
Oklahoma City Thunder,Los Angeles Clippers,0.5262518246253916
Memphis Grizzlies,New Orleans Pelicans,0.6126556688398169
Houston Rockets,New York Knicks,0.6607006081365587
Portland Trail Blazers,Phoenix Suns,0.8765712641110296
Utah Jazz,Dallas Mavericks,0.5989798059500817
Toronto Raptors,Washington Wizards,0.6268446186082727
Cleveland Cavaliers,Boston Celtics,0.8028525882486877
Golden State Warriors,Oklahoma City Thunder,0.7713039154181276
Indiana Pacers,Milwaukee Bucks,0.7001636113033595
Denver Nuggets,Minnesota Timberwolves,0.556924971674702
Orlando Magic,Sacramento Kings,0.5406977589439098
Charlotte Hornets,Brooklyn Nets,0.8627281605502515
Chicago Bulls,New York Knicks,0.7039589636375212
Portland Trail Blazers,Dallas Mavericks,0.6127833577872404
Golden State Warriors,Los Angeles Lakers,0.9630209814862829
Los Angeles Clippers,Memphis Grizzlies,0.67402535004591
New Orleans Pelicans,Phoenix Suns,0.5709548747217187
Toronto Raptors,Miami Heat,0.7186465089398515
San Antonio Spurs,Utah Jazz,0.7400832434832012
Atlanta Hawks,Washington Wizards,0.5189799901000722
Atlanta Hawks,Houston Rockets,0.6753252019261871
Detroit Pistons,Denver Nuggets,0.6558392347719302
Indiana Pacers,Chicago Bulls,0.6822422999214592
Sacramento Kings,Milwaukee Bucks,0.5542408599999595
Oklahoma City Thunder,Minnesota Timberwolves,0.8776312212254381
Washington Wizards,Orlando Magic,0.544834882868633
Cleveland Cavaliers,Philadelphia 76ers,0.9633037925359004
San Antonio Spurs,Los Angeles Clippers,0.8403315600560628
Boston Celtics,Denver Nuggets,0.7591593110271144
Dallas Mavericks,Milwaukee Bucks,0.6957903169911152
Phoenix Suns,Los Angeles Lakers,0.6475183345965013
Portland Trail Blazers,Memphis Grizzlies,0.7170033640380427
Utah Jazz,New York Knicks,0.6376719448205712
Toronto Raptors,Sacramento Kings,0.8399719291713086
Chicago Bulls,Orlando Magic,0.6424833887214716
Charlotte Hornets,Indiana Pacers,0.6314100345379893
Golden State Warriors,New Orleans Pelicans,0.9545249922073944
Los Angeles Clippers,Detroit Pistons,0.7149715985884835
Oklahoma City Thunder,Miami Heat,0.7707297041550989
Utah Jazz,Philadelphia 76ers,0.9014405024134514
Washington Wizards,Houston Rockets,0.5358832733922486
Minnesota Timberwolves,Brooklyn Nets,0.7348588074873474
Cleveland Cavaliers,Atlanta Hawks,0.8153265217684093
Dallas Mavericks,Los Angeles Lakers,0.817365839035212
